data,ipca,meta,selic,ibcbr,ibcbrT,LibcbrT,outgap,Loutgap,juroreal,inflacao,jlag
2009-01-01,5.84,4.5,13.32,115.2,128.42234816399446,4.8544645202067604,-13.222348163994454,-0.10779477194496945,7.067271352985638,1.3399999999999999,7.327667610953714
2009-02-01,5.9,4.5,12.66,115.26,128.76386719754896,4.857083452372393,-13.503867197548956,-0.10989300636387256,6.383380547686479,1.4000000000000004,7.067271352985638
2009-03-01,5.61,4.5,11.7,127.81,129.11716408804799,4.859786323466859,-1.3071640880479833,-0.00924153732323596,5.766499384527979,1.1100000000000003,6.383380547686479
2009-04-01,5.53,4.5,11.11,123.09,129.48257439956424,4.862575498803409,-6.392574399564239,-0.04965970368120409,5.287595944281254,1.0300000000000002,5.766499384527979
2009-05-01,5.2,4.5,10.16,124.41,129.8603429208866,4.865452701921869,-5.450342920886612,-0.04187013899546965,4.714828897338408,0.7000000000000002,5.287595944281254
2009-06-01,4.8,4.5,9.54,125.61,130.25027051202616,4.8684162077715305,-4.640270512026163,-0.03523433907236928,4.522900763358773,0.2999999999999998,4.714828897338408
2009-07-01,4.5,4.5,9.01,131.44,130.6517795369579,4.871461383653146,0.7882204630421086,0.007089090075866444,4.315789473684206,0,4.522900763358773
2009-08-01,4.36,4.5,8.65,130.7,131.06397011864902,4.874581150038363,-0.3639701186490356,-0.0016765294081872995,4.110770410118825,-0.13999999999999968,4.315789473684206
2009-09-01,4.34,4.5,8.65,129.81,131.4859971175988,4.877768919696753,-1.675997117598797,-0.011697076791850058,4.130726471152002,-0.16000000000000014,4.110770410118825
2009-10-01,4.17,4.5,8.65,132.48,131.91699011860385,4.881017988972234,0.563009881396141,0.005413701664715553,4.300662378803888,-0.33000000000000007,4.130726471152002
2009-11-01,4.22,4.5,8.65,129.62,132.35596231777208,4.8843208419117214,-2.7359623177720778,-0.019713748912151274,4.250623680675503,-0.28000000000000025,4.300662378803888
2009-12-01,4.31,4.5,8.65,129.23,132.80196600911978,4.887670338513639,-3.571966009119791,-0.026076575976539118,4.160674911322015,-0.1900000000000004,4.250623680675503
2010-01-01,4.59,4.5,8.65,125.81,133.2538634892802,4.891057969766068,-7.443863489280204,-0.05628513740302843,3.8818242661822433,0.08999999999999986,4.160674911322015
2010-02-01,4.83,4.5,8.65,127.61,133.71026900169136,4.894473415783759,-6.100269001691359,-0.045494678037874436,3.6439950395879217,0.33000000000000007,3.8818242661822433
2010-03-01,5.17,4.5,8.65,143.44,134.16927985482678,4.897902447991363,9.270720145173215,0.06801438130551407,3.308928401635458,0.6699999999999999,3.6439950395879217
2010-04-01,5.26,4.5,8.72,136.87,134.62856972736824,4.901327678460891,2.24143027263176,0.017703891762283597,3.2870986129583724,0.7599999999999998,3.308928401635458
2010-05-01,5.22,4.5,9.4,136.52,135.08645609800755,4.9047364424852775,1.433543901992465,0.011734681553228654,3.9726287777989144,0.7199999999999998,3.2870986129583724
2010-06-01,4.84,4.5,9.94,136.09,135.54141210031662,4.908117304794384,0.5485878996833833,0.005199126777841734,4.864555513162916,0.33999999999999986,3.9726287777989144
2010-07-01,4.6,4.5,10.32,141.64,135.99201041952725,4.911459645026517,5.647989580472739,0.04182898221718556,5.468451242829819,0.09999999999999964,4.864555513162916
2010-08-01,4.49,4.5,10.66,141.55,136.43686183725308,4.914753203870449,5.113138162746935,0.037899807687460374,5.904871279548285,-0.009999999999999787,5.468451242829819
2010-09-01,4.7,4.5,10.66,139.46,136.87496935660644,4.917990626805386,2.5850306433935657,0.019787194987478607,5.692454632282717,0.20000000000000018,5.904871279548285
2010-10-01,5.2,4.5,10.66,139.33,137.30569105973868,4.921167191241625,2.024308940261335,0.01567802888387604,5.190114068441054,0.7000000000000002,5.692454632282717
2010-11-01,5.63,4.5,10.66,139.68,137.72856454481794,4.924279548700222,1.9514354551820645,0.015074543391069284,4.761904761904767,1.13,5.190114068441054
2010-12-01,5.91,4.5,10.66,136.69,138.1432679870224,4.927325439454243,-1.4532679870224001,-0.009609851289681615,4.484940043433094,1.4100000000000001,4.761904761904767
2011-01-01,5.99,4.5,10.85,132.66,138.5496150778811,4.9303036506200435,-5.889615077881103,-0.0425141865226335,4.585338239456549,1.4900000000000002,4.484940043433094
2011-02-01,6.01,4.5,11.17,136.18,138.9473185875352,4.933212301963195,-2.7673185875351862,-0.019234761908374587,4.867465333459098,1.5099999999999998,4.585338239456549
2011-03-01,6.3,4.5,11.62,144.93,139.33568228507875,4.936046560875205,5.59431771492126,0.0402043063592199,5.004703668861721,1.7999999999999998,4.867465333459098
2011-04-01,6.51,4.5,11.74,139.89,139.71381776470386,4.938800259000226,0.17618223529612465,0.0020561404881132006,4.910337057553282,2.01,5.004703668861721
2011-05-01,6.55,4.5,11.92,143.23,140.08122511488833,4.941470019948131,3.1487748851116635,0.022981709843643117,5.039887376818397,2.05,4.910337057553282
2011-06-01,6.71,4.5,12.1,141.75,140.4374166589875,4.944052610116325,1.3125833410124983,0.010012332491537101,5.051073001593109,2.21,5.039887376818397
2011-07-01,6.87,4.5,12.25,145.19,140.78212338527933,4.9465463918542865,4.407876614720664,0.03149683764130984,5.034153644614947,2.37,5.051073001593109
2011-08-01,7.23,4.5,12.42,147.51,141.11516743366258,4.94895042281236,6.3948325663374135,0.044945547279597875,4.840063415089069,2.7300000000000004,5.034153644614947
2011-09-01,7.31,4.5,11.91,142.3,141.43667704657864,4.951265947921285,0.863322953421374,0.006671557174521503,4.286646165315444,2.8099999999999996,4.840063415089069
2011-10-01,6.97,4.5,11.7,142.02,141.74722455206393,4.953497333330359,0.272775447936084,0.0024705594235880923,4.421800504814444,2.4699999999999998,4.286646165315444
2011-11-01,6.64,4.5,11.4,141.87,142.0474422311379,4.955649408491465,-0.17744223113788848,-7.382631675705298e-4,4.463615903975993,2.1399999999999997,4.421800504814444
2011-12-01,6.5,4.5,10.9,139.23,142.33798130755903,4.957727174423106,-3.1079813075590437,-0.021599932501912278,4.131455399061035,2,4.463615903975993
2012-01-01,6.22,4.5,10.7,133.34,142.61948068270883,4.959735580875517,-9.279480682708822,-0.06683332368560269,4.217661457352673,1.7199999999999998,4.131455399061035
2012-02-01,5.84,4.5,10.4,135.35,142.89236342593367,4.961678077603613,-7.542363425933672,-0.05381406154330293,4.308390022675734,1.3399999999999999,4.217661457352673
2012-03-01,5.24,4.5,9.82,146.35,143.15640819819913,4.9635534731592825,3.1935918018008635,0.022447539978612596,4.351957430634745,0.7400000000000002,4.308390022675734
2012-04-01,5.1,4.5,9.35,139.85,143.41086988523273,4.965356839006803,-3.5608698852327336,-0.024786419358833633,4.043767840152235,0.5999999999999996,4.351957430634745
2012-05-01,4.99,4.5,8.87,144.56,143.65522514997065,4.967084805467392,0.9047748500293551,0.006609840816580892,3.695590056195841,0.4900000000000002,4.043767840152235
2012-06-01,4.92,4.5,8.39,142.28,143.88870337271803,4.968732281583153,-1.6087033727180255,-0.010935334502899074,3.3072817384673936,0.41999999999999993,3.695590056195841
2012-07-01,5.2,4.5,8.07,147.46,144.11059676536678,4.9702946354129045,3.349403234633229,0.02326231714859972,2.728136882129273,0.7000000000000002,3.3072817384673936
2012-08-01,5.24,4.5,7.85,149.91,144.3200858242969,4.97176647561724,5.589914175703086,0.0382686384069828,2.4800456100342094,0.7400000000000002,2.728136882129273
2012-09-01,5.28,4.5,7.39,141.6,144.51658364333528,4.973144026295444,-2.9165836433352865,-0.020137845035824498,2.0041793313069878,0.7800000000000002,2.4800456100342094
2012-10-01,5.45,4.5,7.23,147.71,144.69989150479302,4.9744261690911324,3.0101084952069925,0.020824722961376274,1.6880037932669456,0.9500000000000002,2.0041793313069878
2012-11-01,5.53,4.5,7.14,144.15,144.86960815045063,4.975610387186463,-0.7196081504506253,-0.00475596310205173,1.5256325215578403,1.0300000000000002,1.6880037932669456
2012-12-01,5.84,4.5,7.16,139.52,145.02554135740098,4.976695609924909,-5.505541357400972,-0.038487649764239684,1.2471655328798015,1.3399999999999999,1.5256325215578403
2013-01-01,6.15,4.5,7.11,139.32,145.1674489299483,4.977680436374728,-5.847448929948314,-0.04090699087692773,0.904380593499754,1.6500000000000004,1.2471655328798015
2013-02-01,6.31,4.5,7.12,136.14,145.294706343136,4.978560792850721,-9.154706343136013,-0.06487702483091606,0.7619226789577604,1.8099999999999996,0.904380593499754
2013-03-01,6.59,4.5,7.15,148.01,145.40628299916517,4.979329764904436,2.60371700083482,0.017950074144661876,0.5253776151608935,2.09,0.7619226789577604
2013-04-01,6.49,4.5,7.26,149.79,145.500512556741,4.979975932738473,4.289487443258992,0.029258380442154674,0.7230725889755041,1.9900000000000002,0.5253776151608935
2013-05-01,6.5,4.5,7.42,147.03,145.575909488249,4.980489123088358,1.4540905117509908,0.010147524501208594,0.8638497652582178,2,0.7230725889755041
2013-06-01,6.7,4.5,7.9,144.87,145.63128614714756,4.9808611945215935,-0.7612861471475583,-0.005024405968033108,1.1246485473289658,2.2,0.8638497652582178
2013-07-01,6.27,4.5,8.23,152.13,145.66555586540235,4.981084710294884,6.464444134597642,0.04365070818015315,1.844358708948901,1.7699999999999996,1.1246485473289658
2013-08-01,6.09,4.5,8.45,151.81,145.6775791078861,4.981151884747852,6.132420892113913,0.041477854196771524,2.224526345555655,1.5899999999999999,1.844358708948901
2013-09-01,5.86,4.5,8.9,147.27,145.66666525920246,4.981057963519299,1.6033347407975498,0.01120967321877231,2.8717173625543158,1.3600000000000003,2.224526345555655
